ilce,mahalle,toplam_nufus,kadin_nufus,erkek_nufus
"ŞEREFLİKOÇHİSAR","EKİCİ",3801,1889,1912
"POLATLI","YENİMEHMETLİ",255,106,149
"ÇANKAYA","KIZILAY",1572,869,703
"ŞEREFLİKOÇHİSAR","İSTİKLAL",4157,2139,2018
"POLATLI","ÇİMENCEĞİZ",97,45,52
"POLATLI","BEYLİKKÖPRÜ",1428,310,1118
"SİNCAN","29 EKİM",20453,10218,10235
"POLATLI","KURTULUŞ",6064,3175,2889
"POLATLI","ZAFER",10884,5553,5331
"POLATLI","YENİKÖSELER",416,182,234
"POLATLI","ESENTEPE",2113,1097,1016
"KEÇİÖREN","AKTEPE",11007,5616,5391
"YENİMAHALLE","MEHMET AKİF ERSOY",18189,9322,8867
"YENİMAHALLE","SERHAT",24592,12363,12229
"ÇAMLIDERE","PELİTÇİK",161,75,86
"ÇANKAYA","SAĞLIK",648,227,421
"ÇANKAYA","NASUH AKAR",3747,1944,1803
"KIZILCAHAMAM","KIRKIRCA",119,58,61
"KIZILCAHAMAM","BAĞLICA",66,33,33
"KIZILCAHAMAM","AŞAĞIADA",39,19,20
"KIZILCAHAMAM","ESENLER",45,21,24
"KEÇİÖREN","KARAKAYA",19798,9785,10013
"ÇANKAYA","KÜÇÜKESAT",2544,1434,1110
"ÇANKAYA","FİDANLIK",1321,525,796
"YENİMAHALLE","YUKARI YAHYALAR",4122,2067,2055
"KALECİK","KUYUCAK",85,40,45
"BEYPAZARI","KAYABÜKÜ",174,88,86
"ÇANKAYA","KOCATEPE",658,285,373
"POLATLI","MEHMETAKİF",8120,4397,3723
"SİNCAN","MALAZGİRT",34635,17129,17506
"KIZILCAHAMAM","ÇUKURCA",39,19,20
"ETİMESGUT","YAVUZ SELİM",11028,5697,5331
"ETİMESGUT","TOPÇU",31271,15716,15555
"SİNCAN","AKŞEMSETTİN",23239,11643,11596
"ETİMESGUT","KAZIM KARABEKİR",18173,9011,9162
"SİNCAN","ULUBATLI HASAN",15054,7626,7428
"SİNCAN","MEVLANA",5508,2713,2795
"SİNCAN","PLEVNE",29983,15096,14887
"SİNCAN","İLYAKUT",258,125,133
"KIZILCAHAMAM","GÜVEM",167,83,84
"KIZILCAHAMAM","İĞDİR",98,51,47
