tur,adi,adres,mahalle,ilce
PORTAŞ ASFALT ÜRETİM TESİSLERİ,POLATLI KARAHAMZALI TAŞ OCAĞI,"Karahamzalı, Polatlı/Ankara",YENİMEHMETLİ,POLATLI
PORTAŞ ASFALT ÜRETİM TESİSLERİ,MAMAK YENİ KIBRIS PLENT TESİSİ,"Kıbrıs, Mamak/Ankara",KIBRISKÖY,MAMAK
PORTAŞ ASFALT ÜRETİM TESİSLERİ,POLATLI PLENT TESİSİ,"Eskipolatlı, 06900 Polatlı/Ankara",ŞENTEPE,POLATLI
OTOPARKLAR,KOLEJ AÇIK OTOPARKI,Kültür Mah. Çaldıran Sokak - Dışkapı No: 1 / İç Kapı No: 6,KÜLTÜR,ÇANKAYA
OTOPARKLAR,DİKMEN VADİSİ AÇIK OTOPARKI,Güzeltepe 747 Ankara Çankaya Dışkapı No: 2 / İç Kapı No: 1,GÜZELTEPE,ÇANKAYA
OTOPARKLAR,KIZILCAHAMAM SOĞUK SU MİLLİ PARKI OTOPARKI,Kızılcahamam Soğuk Su Milli Parkı İçerisi,YENİCE,KIZILCAHAMAM
OTOPARKLAR,BEYPAZARI YOL BOYU OTOPARK,Rüstem Paşa İrfan Gümüşel Ankara Beypazarı - Dışkapı No: 0 / İç Kapı No: ,BEYTEPE,BEYPAZARI
OTOPARKLAR,RÜZGARLI YOL BOYU OTOPARK,"Doğanbey Mah. Çelik Cad., Fuat Börekçi Cad. ve Agah Efendi sok. Altındağ/Ankara",HACI BAYRAM,ALTINDAĞ
OTOPARKLAR,AKSU KÖPRÜ ALTI,Celal Bayar Bulvarı Aksu Köprü Altı Otoparkı No:41/A ,ETİ,ÇANKAYA
OTOPARKLAR,KOCATEPE ÇOK KATLI,Kocatepe Çok Katlı Otoparkı,KÜLTÜR,ÇANKAYA
BİTKİ EVİ,MOGAN BİTKİ EVİ,KARŞIYAKA MAH. ,KARŞIYAKA,GÖLBAŞI
SEĞMEN SU SATIŞ BAYİLERİ,4S TURİZM GIDA İNŞAAT,OĞUZHANLAR MAHALLESİ,OĞUZLAR,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,AYTUĞ GROSS,KUTLU MAHLLESİ,KUTLU,MAMAK
SEĞMEN SU SATIŞ BAYİLERİ,BOZZO OĞULLARI TİCARET,YENİ MAHALLESİ,YENİ,POLATLI
SEĞMEN SU SATIŞ BAYİLERİ,KADİR ÇİÇEK,ŞAFAK MAHALLESİ,ŞAFAK,GÖLBAŞI
SEĞMEN SU SATIŞ BAYİLERİ,KEZİ AYDOĞDU,SANCAK MAHALLESİ,SANCAK,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,TERZİ TİCARET,TOPÇU MAHALLESİ,TOPÇU,ETİMESGUT
SEĞMEN SU SATIŞ BAYİLERİ,TUNAHAN MOBİLYA,YILDIRIM MAHALLESİ,REMZİ OĞUZ ARIK,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,YEPAŞ EKMEK,ALTIAĞAÇ MAHALLESİ,ALTIAĞAÇ,MAMAK
SEĞMEN SU SATIŞ BAYİLERİ,DAMACANA SU BAYİİ,YUNUS EMRE MAHALLESİ,YUNUS EMRE,YENİMAHALLE
SEĞMEN SU SATIŞ BAYİLERİ,TEMİZLİK TIMES - SATI UYAR,BASINEVLER MAHALLESİ,BASINEVLERİ,KEÇİÖREN
SEĞMEN SU SATIŞ BAYİLERİ,TUĞRA LİKİT PETROL ÜRÜNL. VE NAKL.,G.O.P MAHALLESİ,GAZİOSMANPAŞA,GÖLBAŞI
SEĞMEN SU SATIŞ BAYİLERİ,VEGA GRUP,MİMAR SİNAN MAHALLESİ,EMEK,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,ABDULLAH BOSTAN,EKİCİ MAHALLESİ,EKİCİ,ŞEREFLİKOÇHİSAR
SEĞMEN SU SATIŞ BAYİLERİ,HASGÜN GIDA NAK.,BAHÇELİEVLER MAHALLESİ,YUKARI BAHÇELİEVLER,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,İSMAİL DAŞDAN,AYRANCI MAHALLESİ,AYRANCI,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,RAMAZAN KAYA,MUHSİN ERTUĞRUL MAHALLESİ,MUHSİN ERTUĞRUL,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,ÇAKIRLAR KAYNAK SULARI,DİKMEN MAHALLESİ,SOKULLU MEHMET PAŞA,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,HATİCE AYTAÇ,CUMHURİYET MAHALLESİ,CUMHURİYET,POLATLI
SEĞMEN SU SATIŞ BAYİLERİ,ŞAHİN TİCARET,BİRLİK MAHALLESİ,BİRLİK,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,YILMAZ GÜNDOĞDU,EMEK MAHALLESİ,YUKARI BAHÇELİEVLER,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,YILMAZ GÜNDOĞDU,CEBECİ MAHALLESİ,ERTUĞRULGAZİ,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,YAŞAR DOĞAN,KÜÇÜK ESAT MAHALLESİ,GÜVENEVLER,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,SEDAT ALTINOK,ÇİĞDEM MAHALLESİ,ÇİĞDEM,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,ATAKAN YILDIRIM,ÇAKIRLAR MAHALLESİ,BATI SİTESİ,YENİMAHALLE
SEĞMEN SU SATIŞ BAYİLERİ,KADİR ÜNAL,BOZTEPE MAHALLESİ,BOZTEPE,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,GENCAY GÜNDOĞDU,ÇAMLITEPE MAHALLESİ,ÇAMLITEPE,ÇANKAYA
SEĞMEN SU SATIŞ BAYİLERİ,FEVZİ KAYA,AKŞEMSETTİN MAHALLESİ,AKŞEMSETTİN,SİNCAN
OTOPARKLAR,DEMİRTEPE AÇIK OTOPARKI (ARAÇ KAPASİTESİ: 30),Korkut Reis Mah. Necatibey Cad. - Dışkapı No: 60 / İç Kapı No: A,KORKUTREİS,ÇANKAYA
BELKO VİTAMİN DEPOLARI,Kolej Satış Büfesi,Kültür Mh. Ziya Gökalp Cd. No: 50/2 Çankaya ,KÜLTÜR,ÇANKAYA
BELKO VİTAMİN DEPOLARI,Demetevler Satış Büfesi,Demetlale Mh. Vatan Cd. No: 30/3 Yenimahalle,DEMETLALE,YENİMAHALLE
BELKO VİTAMİN DEPOLARI,Osmanlı Satış Büfesi,Etlik Mh. Yeni Etlik Cd. Osmanlı İş Merkezi Önü,AŞAĞI EĞLENCE,KEÇİÖREN
ANFA KAFELER,Altınpark Expo Ala Kafeterya,Şehit Ömer Halisdemir Bulvarı 142/6 Aydınlıkevler Altınpark Fuar A Salonu içi,AYDINLIKEVLER,ALTINDAĞ
PORTAŞ ASFALT ÜRETİM TESİSLERİ,ŞEREFLİKOÇHİSAR TAŞ OCAĞI,"Çalören, Şereflikoçhisar/Ankara",ALİUŞAĞI,ŞEREFLİKOÇHİSAR
HALK EKMEK,HALK EKMEK BAYİİ,"Ayvalı, Etlik Cd, 06010 Keçiören/Ankara",ETLİK,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Ayvalı, Gazze Cd. 60 B, 06010 Keçiören/Ankara",AYVALI,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"19 Mayıs, Gün Sazak Cd. No:38, 06290 Keçiören/Ankara",19 MAYIS,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"23 Nisan, Kavşak Sk. No:35, 06300 Keçiören/Ankara",23 NİSAN,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"30 Ağustos, Şht. Yalçın Çelik Sk. No:8 06794, 06794 Etimesgut/Ankara",30 AĞUSTOS,ETİMESGUT
HALK EKMEK,HALK EKMEK BAYİİ,"Abidinpaşa, Bağlarbaşı Cd. No:2, 06620 Mamak/Ankara",ABİDİNPAŞA,MAMAK
HALK EKMEK,HALK EKMEK BAYİİ,"Ahi Evran, Bahçe Sk., 06935 Sincan/Ankara",AHİ EVRAN,SİNCAN
HALK EKMEK,HALK EKMEK BAYİİ,"Ahi Mesut, 2206. Cd. No:12, 06794 Etimesgut/Ankara",AHİ MESUT,ETİMESGUT
HALK EKMEK,HALK EKMEK BAYİİ,"Ahiler, Çevreli Cd. No:101, 06130 Altındağ/Ankara",AYDINLIKEVLER,ALTINDAĞ
HALK EKMEK,HALK EKMEK BAYİİ,"Aktaş, Mevlana Cd., 06080 Altındağ/Ankara",GÜLTEPE,ALTINDAĞ
HALK EKMEK,HALK EKMEK BAYİİ,"Alınteri Blv. No:64, 06374 Ostim Osb/Yenimahalle/Ankara",OSTİM OSB,YENİMAHALLE
HALK EKMEK,HALK EKMEK BAYİİ,"Ali Ersoy, 06160 Altındağ/Ankara",GÜNEŞEVLER,ALTINDAĞ
HALK EKMEK,HALK EKMEK BAYİİ,"Anadolu, 06210 Yenimahalle/Ankara",ANADOLU,YENİMAHALLE
HALK EKMEK,HALK EKMEK BAYİİ,"Anafartalar, Atatürk Blv, 06050 Altındağ/Ankara",KORKUTREİS,ÇANKAYA
HALK EKMEK,HALK EKMEK BAYİİ,"Anafartalar, Kültür Varlıklar ve Müzeler genel Müdürlüğü 06050 Altındağ/Ankara",HACI BAYRAM,ALTINDAĞ
HALK EKMEK,HALK EKMEK BAYİİ,"Anafartalar, Şht. Teğmen Kalmaz Cd. No:34, 06050 Altındağ/Ankara",HACI BAYRAM,ALTINDAĞ
HALK EKMEK,HALK EKMEK BAYİİ,"Aşağı Eğlence, Mühendisler Sk. No:35, 06010 Keçiören/Ankara",AŞAĞI EĞLENCE,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Aşık Veysel, Bağlarbaşı Cd., 06620 Mamak/Ankara",AŞIK VEYSEL,MAMAK
HALK EKMEK,HALK EKMEK BAYİİ,"Aşıkpaşa, Ziya Oralay Cd. No:296, 06670 Çankaya/Ankara",AŞIKPAŞA,ÇANKAYA
HALK EKMEK,HALK EKMEK BAYİİ,"Atapark, 1288. Sk. 34/A, 06280 Keçiören/Ankara",ATAPARK,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Atapark, Elmalık Cd., 06280 Keçiören/Ankara",ATAPARK,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Atatürk, 06936 Sincan/Ankara",ATATÜRK,SİNCAN
HALK EKMEK,HALK EKMEK BAYİİ,"Avcılar, Demirdağ Cd No:139, 06210 Yenimahalle/Ankara",KALETEPE,YENİMAHALLE
HALK EKMEK,HALK EKMEK BAYİİ,"Avcılar, Karahöyük Cd. No:48, 06210 Yenimahalle/Ankara",AVCILAR,YENİMAHALLE
HALK EKMEK,HALK EKMEK BAYİİ,"Aydınlar, Mimar Cd. No:35, 06460 Çankaya/Ankara",AYDINLAR,ÇANKAYA
HALK EKMEK,HALK EKMEK BAYİİ,"Aydınlıkevler, Çevreli Cd. No:5, 06130 Altındağ/Ankara",AYDINLIKEVLER,ALTINDAĞ
HALK EKMEK,HALK EKMEK BAYİİ,"Farabi Sk. Ayrancı, Kuveyt Cd. 42 A, 06540 Çankaya/Ankara",AYRANCI,ÇANKAYA
HALK EKMEK,HALK EKMEK BAYİİ,"Ayvalı, 182. Cd. No:11, 06010 Keçiören/Ankara",AYVALI,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Ayvalı, Ayvalı Cd., 06010 Keçiören/Ankara",AYVALI,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Ayvalı, No:, Mehtap Cd. No:2, 06010 Keçiören/Ankara",ETLİK,KEÇİÖREN
HALK EKMEK,HALK EKMEK BAYİİ,"Ayvalı, Seval Cd. No:2, 06010 Keçiören/Ankara",BURÇ,YENİMAHALLE
HALK EKMEK,HALK EKMEK BAYİİ,"Bahçeleriçi, Mamak Cd. No:186, 06260 Mamak/Ankara",BAHÇELERİÇİ,MAMAK
HALK EKMEK,HALK EKMEK BAYİİ,"Bahçelievler 8. Cad, 3. Sk., 06490 Çankaya/Ankara",EMEK,ÇANKAYA
HALK EKMEK,HALK EKMEK BAYİİ,"Bahçelievler, Azerbaycan Cd. No:35, 06490 Çankaya/Ankara",BAHÇELİEVLER,ÇANKAYA
