tur,adi,adres,mahalle,ilce
ÇOCUK MECLİSİ,Ankara Büyükşehir Belediyesi Çocuk Meclisi,"Sağlık, A.Adnan Saygun Cd, 06430 Çankaya/Ankara",SAĞLIK,ÇANKAYA
TEKNOLOJİ MERKEZLERİ,ANSERA TECHBRİDGE AKADEMİ,PORTAKAL ÇİÇEĞİ CADDESİ AZİYE MAHALLESİ ANSERA AVM NO:21 ÇANKAYA/ANKARA,AZİZİYE,ÇANKAYA
KADINLAR LOKALLERİ,DEMETEVLER KADINLAR LOKALİ,DEMETEVLERMAH,YEŞİLEVLER,YENİMAHALLE
KADINLAR LOKALLERİ,KUŞÇAĞIZ KADINLAR LOKALİ,KUŞCAĞIZ,KUŞCAĞIZ,KEÇİÖREN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,KUŞCAĞIZ AİLE YAŞAM MERKEZİ,PINARBAŞI MAH.SANTORYUM CAD.NO:273,KUŞCAĞIZ,KEÇİÖREN
KADIN DANIŞMA MERKEZLERİ,KADIN DANIŞMA MERKEZİ,HACI BAYRAM MAH.,HACI BAYRAM,ALTINDAĞ
KADIN DANIŞMA MERKEZLERİ,KADIN DANIŞMA MERKEZİ,HACI BAYRAM MAH.,HACI BAYRAM,ALTINDAĞ
BELMEK - BELTEK,BELMEK ,Fatih Mah.,YUNUS EMRE,SİNCAN
ÇOCUK KULÜPLERİ,AHMETLER ÇOCUK KULÜBÜ,KÜLTÜR,KÜLTÜR,ÇANKAYA
ÇOCUK KULÜPLERİ,MAMAK ÇOCUK KULÜBÜ,MUTLU,MUTLU,MAMAK
ÇOCUK KULÜPLERİ,SİNANLI ÇOCUK KULÜBÜ,HOCA SİNAN,SİNANLI HOCASİNAN,AYAŞ
ÇOCUK KULÜPLERİ,SİNCAN ÇOCUK KULÜBÜ,ATATÜRK,ATATÜRK,SİNCAN
GÜNDÜZ BAKIM EVLERİ,İŞCİ BLOKLARI GÜNDÜZ BAKIMEVİ,ÇUKURAMBAR MAH.,ÇUKURAMBAR,ÇANKAYA
GÜNDÜZ BAKIM EVLERİ,AHMETLER GÜNDÜZ BAKIMEVİ,KÜLTÜR MAH.,KÜLTÜR,ÇANKAYA
KADINLAR LOKALLERİ,AHMETLER KADINLAR LOKALİ,KÜLTÜR,KÜLTÜR,ÇANKAYA
KADINLAR LOKALLERİ,AYAŞ KADINLAR LOKALİ,ÖMEROĞLU,HACIRECEP,AYAŞ
GİYSİ YIKAMA MERKEZLERİ,KURTULUŞ GİYSİ YIKAMA MERKEZİ,ÇAMLITEPE MAH.,ÇAMLITEPE,ÇANKAYA
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,KAZAN AİLE YAŞAM MERKEZİ,FATİH MH.NO:295 ,FATİH,KAHRAMANKAZAN
KADINLAR LOKALLERİ,GÖLBAŞI K.L.,BAHÇELİEVLER,BAHÇELİEVLER,GÖLBAŞI
KADINLAR LOKALLERİ,HARİKALAR DİYARI KADINLAR LOKALİ,YUNUS EMRE,ULUBATLI HASAN,SİNCAN
KADINLAR LOKALLERİ,HASANOĞLAN KADINLAR LOKALİ,HAVUZBAŞI,HASANOĞLAN HAVUZBAŞI,ELMADAĞ
KADINLAR LOKALLERİ,KAHRAMAN KAZAN KADINLAR LOKALİ,FATİH,FATİH,KAHRAMANKAZAN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,YENİKENT ORTAPINAR GENÇLİK MERKEZİ,"\FEVZİ ÇAKMAK MAHALLESİ  70.CADDE 1.VE 2.ETAP TOPLU KONUTLARI NO:H2/23 NO:49-56 ORTAPINAR/YENİKENT/SİNCAN\""""",FEVZİ ÇAKMAK,SİNCAN
KADINLAR LOKALLERİ,ÜMİTKÖY KADINLAR LOKALİ,MUTLUKENT,MUTLUKENT,ÇANKAYA
ÇOCUK KULÜPLERİ,BATIPARK ÇOCUK\n KULÜBÜ,KARDELEN,KARDELEN,YENİMAHALLE
EVLENDİRME MERKEZİ,EVLENDİRME MERKEZİ,HACI BAYRAM MAH.,HACI BAYRAM,ALTINDAĞ
GAZİLER MERKEZİ,GAZİLER MERKEZİ,HACI BAYRAM MAH.,HACI BAYRAM,ALTINDAĞ
KADINLAR LOKALLERİ,BAHÇELİEVLER KADINLAR LOKALİ,BAHÇELİEVLER,BAHÇELİEVLER,ÇANKAYA
KADINLAR LOKALLERİ,ÇANKAYA KADINLAR LOKALİ,GÜZELTEPE,AZİZİYE,ÇANKAYA
GİYSİ YIKAMA MERKEZLERİ,ARAPLAR GİYSİ YIKAMA MERKEZİ,ARAPLAR MAH.,ARAPLAR,MAMAK
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,MAMAK GENÇLİK MERKEZİ,SAİME KADIN MAH.ASIM GÜNDÜZ CAD.KAT:1 NO:1 ,SAİMEKADIN,MAMAK
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,AKYURT AİLE YAŞAM MERKEZİ,BEYAZIT MAH. 9 MAYIS 90 CAD. NO:1,BEYAZIT,AKYURT
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,ELMADAĞ GENÇLİK MERKEZİ VE ÇOCUK KULÜBÜ,İSMETPAŞA MAHALLESİ BÜLENT ECEVİT CADDESİ NO:42,KEMALPAŞA,ELMADAĞ
KADINLAR LOKALLERİ,ELVANKENT KADINLAR LOKALİ,ATAKENT,ATAKENT,ETİMESGUT
KADINLAR LOKALLERİ,KALECİK KADINLAR LOKALİ,AHİKEMAL ŞENYURT,AHİKEMALŞENYURT,KALECİK
KADINLAR LOKALLERİ,OSMANLI KADINLAR LOKALİ,AŞAĞI EĞLENCE,AŞAĞI EĞLENCE,KEÇİÖREN
KADINLAR LOKALLERİ,SİNCAN KADINLAR LOKALİ,AKŞEMSETTİN,AŞAĞI EĞLENCE,KEÇİÖREN
KADINLAR LOKALLERİ,ŞAFAKTEPE KADINLAR LOKALİ,ŞAFAKTEPE,ŞAFAKTEPE,MAMAK
KADINLAR LOKALLERİ,ŞENTEPE KADINLAR LOKALİ,GÜVENTEPE,GÜVENTEPE,YENİMAHALLE
YAŞLILARA HİZMET MERKEZİ,YAŞLILARA HİZMET MERKEZİ,KAVAKLIDERE MAH.,KAVAKLIDERE,ÇANKAYA
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,SİNCAN AİLE YAŞAM MERKEZİ,Yunus Emre Mh. Gazi Mustafa Kemal Bulvarı No: 14 Sincan,YUNUS EMRE,SİNCAN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,ESERTEPE AİLE YAŞAM MERKEZİ,ŞHT. MUSTAFA ERCİGEZ CD NO:2,ESERTEPE,KEÇİÖREN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,YAHYALAR AİLE YAŞAM MERKEZİ,İVEDİKKÖY MAH. 990/1.SOKAK,İVEDİKKÖY,YENİMAHALLE
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,POLATLI AİLE YAŞAM MERKEZİ,ZAFER MAH. ADNAN MENDERES CAD.84/A ,ZAFER,POLATLI
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,YENİMAHALLE GENÇLİK MERKEZİ,EMNİYET M.SİLAHTAR C.36,EMNİYET,YENİMAHALLE
BELMEK - BELTEK,BELMEK ,Zafer Mah.,ZAFER,POLATLI
